Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
bgc-104_MSI_S55_L001_R1_001	bgc-104_MSI_S55_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5472050.0	0.0	86.0	40.0	88.24914680562514	86.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
bgc-104_MSI_S55_L002_R1_001	bgc-104_MSI_S55_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5386892.0	0.0	86.0	40.0	88.35325260471012	86.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
bgc-104_MSI_S55_L003_R1_001	bgc-104_MSI_S55_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5625088.0	0.0	86.0	40.0	88.0374807800005	86.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
bgc-104_MSI_S55_L004_R1_001	bgc-104_MSI_S55_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5574137.0	0.0	86.0	40.0	87.82980735661752	86.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
bgc-112_MSI_S56_L001_R1_001	bgc-112_MSI_S56_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3838491.0	0.0	86.0	41.0	87.02996451900856	86.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
bgc-112_MSI_S56_L002_R1_001	bgc-112_MSI_S56_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3769040.0	0.0	86.0	41.0	87.04384657845424	86.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
bgc-112_MSI_S56_L003_R1_001	bgc-112_MSI_S56_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3941498.0	0.0	86.0	41.0	86.78743499736818	86.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
bgc-112_MSI_S56_L004_R1_001	bgc-112_MSI_S56_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3897210.0	0.0	86.0	41.0	86.53718504527671	86.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
bgc-115_MSI_S24_L001_R1_001	bgc-115_MSI_S24_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2511891.0	0.0	86.0	46.0	39.62991852640425	86.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass
bgc-115_MSI_S24_L002_R1_001	bgc-115_MSI_S24_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2455578.0	0.0	86.0	46.0	40.130862423587466	86.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass
