Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
bgc-104_MSI_S55_L001_R1_001	11.750853194374855	40.0	86.0	9.090909090909092	5472050.0
bgc-104_MSI_S55_L002_R1_001	11.646747395289879	40.0	86.0	9.090909090909092	5386892.0
bgc-104_MSI_S55_L003_R1_001	11.962519219999507	40.0	86.0	9.090909090909092	5625088.0
bgc-104_MSI_S55_L004_R1_001	12.170192643382478	40.0	86.0	9.090909090909092	5574137.0
bgc-112_MSI_S56_L001_R1_001	12.970035480991442	41.0	86.0	9.090909090909092	3838491.0
bgc-112_MSI_S56_L002_R1_001	12.956153421545764	41.0	86.0	9.090909090909092	3769040.0
bgc-112_MSI_S56_L003_R1_001	13.21256500263182	41.0	86.0	9.090909090909092	3941498.0
bgc-112_MSI_S56_L004_R1_001	13.462814954723285	41.0	86.0	9.090909090909092	3897210.0
bgc-115_MSI_S24_L001_R1_001	60.37008147359575	46.0	86.0	27.27272727272727	2511891.0
bgc-115_MSI_S24_L002_R1_001	59.869137576412534	46.0	86.0	27.27272727272727	2455578.0
bgc-115_MSI_S24_L003_R1_001	60.36456924571243	46.0	86.0	27.27272727272727	2567900.0
bgc-115_MSI_S24_L004_R1_001	60.99566654408284	46.0	86.0	27.27272727272727	2515212.0
bgc-116_MSI_S27_L001_R1_001	28.579661055850792	41.0	86.0	9.090909090909092	2962854.0
bgc-116_MSI_S27_L002_R1_001	28.3663920736696	41.0	86.0	9.090909090909092	2927544.0
bgc-116_MSI_S27_L003_R1_001	28.833690045808098	41.0	86.0	9.090909090909092	3029397.0
bgc-116_MSI_S27_L004_R1_001	29.0911043565564	41.0	86.0	9.090909090909092	2973102.0
bgc-120_MSI_S29_L001_R1_001	47.44383713250978	40.0	86.0	18.181818181818183	4128484.0
bgc-120_MSI_S29_L002_R1_001	46.61278451987165	40.0	86.0	18.181818181818183	4054758.0
bgc-120_MSI_S29_L003_R1_001	47.73858322022506	40.0	86.0	18.181818181818183	4230144.0
bgc-120_MSI_S29_L004_R1_001	47.51416053062501	40.0	86.0	18.181818181818183	4158182.0
bgc-121_MSI_S26_L001_R1_001	50.89069564228965	44.0	86.0	27.27272727272727	4153060.0
bgc-121_MSI_S26_L002_R1_001	49.68183398899176	44.0	86.0	18.181818181818183	4031854.0
bgc-121_MSI_S26_L003_R1_001	50.55468199603883	44.0	86.0	27.27272727272727	4237180.0
bgc-121_MSI_S26_L004_R1_001	50.30894251434926	44.0	86.0	27.27272727272727	4157545.0
bgc-150_MSI_S26_L001_R1_001	69.7915415731946	47.0	86.0	27.27272727272727	2902560.0
bgc-150_MSI_S26_L002_R1_001	70.08837948961049	47.0	86.0	27.27272727272727	2869066.0
bgc-150_MSI_S26_L003_R1_001	70.00074906127927	47.0	86.0	27.27272727272727	2963570.0
bgc-150_MSI_S26_L004_R1_001	71.08741717302969	47.0	86.0	27.27272727272727	2907634.0
bgc-162_MSI_S57_L001_R1_001	26.48982371155772	43.0	86.0	36.36363636363637	3297469.0
bgc-162_MSI_S57_L002_R1_001	25.819439449841212	44.0	86.0	36.36363636363637	3037064.0
bgc-162_MSI_S57_L003_R1_001	28.042389075748304	43.0	86.0	36.36363636363637	3338002.0
bgc-162_MSI_S57_L004_R1_001	28.00412145032891	43.0	86.0	36.36363636363637	3209123.0
bgc-164_MSI_S53_L001_R1_001	44.97022596484758	42.0	86.0	9.090909090909092	4779437.0
bgc-164_MSI_S53_L002_R1_001	44.72127768892135	42.0	86.0	9.090909090909092	4671161.0
bgc-164_MSI_S53_L003_R1_001	45.32896252924553	42.0	86.0	9.090909090909092	4909151.0
bgc-164_MSI_S53_L004_R1_001	45.41465687576856	42.0	86.0	9.090909090909092	4839770.0
bgc-167_MSI_S54_L001_R1_001	20.556206246003555	40.0	86.0	9.090909090909092	5224113.0
bgc-167_MSI_S54_L002_R1_001	20.16171330632538	40.0	86.0	9.090909090909092	5105078.0
bgc-167_MSI_S54_L003_R1_001	20.672068810212238	40.0	86.0	9.090909090909092	5357938.0
bgc-167_MSI_S54_L004_R1_001	20.602809647985467	40.0	86.0	9.090909090909092	5289664.0
bgc-168_MSI_S25_L001_R1_001	57.281351159212086	41.0	86.0	27.27272727272727	2915990.0
bgc-168_MSI_S25_L002_R1_001	56.889420228061475	41.0	86.0	27.27272727272727	2878563.0
bgc-168_MSI_S25_L003_R1_001	57.49800246025834	41.0	86.0	27.27272727272727	2982321.0
bgc-168_MSI_S25_L004_R1_001	57.85505105725037	41.0	86.0	27.27272727272727	2925236.0
bgc-171_MSI_S28_L001_R1_001	44.3457512820566	46.0	86.0	9.090909090909092	3820302.0
bgc-171_MSI_S28_L002_R1_001	43.14102224261701	46.0	86.0	9.090909090909092	3727100.0
bgc-171_MSI_S28_L003_R1_001	44.37833597036259	46.0	86.0	18.181818181818183	3899860.0
bgc-171_MSI_S28_L004_R1_001	44.54563942765913	46.0	86.0	9.090909090909092	3816674.0
bgc-173_MSI_S25_L001_R1_001	15.45830309441196	41.0	86.0	9.090909090909092	5171187.0
bgc-173_MSI_S25_L002_R1_001	15.310297920886455	41.0	86.0	9.090909090909092	5086032.0
bgc-173_MSI_S25_L003_R1_001	15.686115658227223	41.0	86.0	9.090909090909092	5297477.0
