Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
results/mapped/star/104_MSI/Aligned.sortedByCoord.out.bam	29764698	12457179	0	0	0	0	0	0	0	15447924	0	0	882844	0	976751	41.852193494454404
results/mapped/star/112_MSI/Aligned.sortedByCoord.out.bam	22987851	8294039	0	0	0	0	0	0	0	13559585	0	0	642738	0	491489	36.08009726529026
results/mapped/star/115_MSI/Aligned.sortedByCoord.out.bam	19597444	3104107	0	0	0	0	0	0	0	15809298	0	0	519402	0	164637	15.839346192289158
results/mapped/star/116_MSI/Aligned.sortedByCoord.out.bam	18106810	4260376	0	0	0	0	0	0	0	13205131	0	0	392221	0	249082	23.529136275246717
results/mapped/star/120_MSI/Aligned.sortedByCoord.out.bam	21577993	9042190	0	0	0	0	0	0	0	11329631	0	0	636065	0	570107	41.90468501866694
results/mapped/star/121_MSI/Aligned.sortedByCoord.out.bam	19481896	3491209	0	0	0	0	0	0	0	15090378	0	0	624229	0	276080	17.920273262930877
results/mapped/star/150_MSI/Aligned.sortedByCoord.out.bam	17100382	3594787	0	0	0	0	0	0	0	12664628	0	0	590336	0	250631	21.02167659178608
results/mapped/star/162_MSI/Aligned.sortedByCoord.out.bam	560016	66299	0	0	0	0	0	0	0	380185	0	0	109712	0	3820	11.838768892317363
results/mapped/star/164_MSI/Aligned.sortedByCoord.out.bam	28800445	9542489	0	0	0	0	0	0	0	17970412	0	0	678899	0	608645	33.13313040822807
results/mapped/star/167_MSI/Aligned.sortedByCoord.out.bam	27142225	10875622	0	0	0	0	0	0	0	14454547	0	0	1035446	0	776610	40.06901423888425
results/mapped/star/168_MSI/Aligned.sortedByCoord.out.bam	19073462	4169144	0	0	0	0	0	0	0	14269636	0	0	342067	0	292615	21.858349574922475
results/mapped/star/171_MSI/Aligned.sortedByCoord.out.bam	32814210	2868553	0	0	0	0	0	0	0	29500894	0	0	299569	0	145194	8.741801189179931
results/mapped/star/173_MSI/Aligned.sortedByCoord.out.bam	27562676	10702107	0	0	0	0	0	0	0	15286512	0	0	841922	0	732135	38.82825818509059
results/mapped/star/175_MSI/Aligned.sortedByCoord.out.bam	59637434	28191284	0	0	0	0	0	0	0	27384362	0	0	2134949	0	1926839	47.271121691788416
results/mapped/star/182_MSI/Aligned.sortedByCoord.out.bam	36359152	6335409	0	0	0	0	0	0	0	29166536	0	0	508796	0	348411	17.42452354224323
results/mapped/star/183_MSI/Aligned.sortedByCoord.out.bam	34605922	4678871	0	0	0	0	0	0	0	29100003	0	0	527381	0	299667	13.520434450496651
results/mapped/star/184_MSI/Aligned.sortedByCoord.out.bam	42903873	11323251	0	0	0	0	0	0	0	29972593	0	0	972509	0	635520	26.392141800345158
results/mapped/star/187_MSI/Aligned.sortedByCoord.out.bam	3584307	1071174	0	0	0	0	0	0	0	2358369	0	0	87755	0	67009	29.88510749776735
results/mapped/star/195_MSI/Aligned.sortedByCoord.out.bam	22601725	7360915	0	0	0	0	0	0	0	14332938	0	0	453500	0	454372	32.567934527121274
results/mapped/star/218_MSI/Aligned.sortedByCoord.out.bam	23925278	8630261	0	0	0	0	0	0	0	14170946	0	0	591274	0	532797	36.07172714983709
results/mapped/star/226_MSI/Aligned.sortedByCoord.out.bam	37114368	12781251	0	0	0	0	0	0	0	22740806	0	0	738496	0	853815	34.437474457331454
results/mapped/star/56_MSI/Aligned.sortedByCoord.out.bam	17272828	7611319	0	0	0	0	0	0	0	8582988	0	0	576772	0	501749	44.065274082506924
