Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
104_MSI	81.27	14316774.0							
104_MSI_R1			41.13328746593382	43.0	66.44304921341715	0.0	17616517.0		
112_MSI	77.2	9428266.0							
112_MSI_R1			42.55262303593891	44.0	65.4891522138969	0.0	12212538.0		
115_MSI	54.78	3788146.0							
115_MSI_R1			87.3165031829057	52.0	64.20305108921612	18.181818181818183	6915432.0		
116_MSI	65.84	4901679.0							
116_MSI_R1			70.59250086227907	47.0	59.38111534521416	18.181818181818183	7445103.0		
120_MSI	80.15	10248362.0							
120_MSI_R1			79.25132764256809	43.0	65.40276166295436	18.181818181818183	12785847.0		
121_MSI	58.91	4391518.0							
121_MSI_R1			87.19857844504014	54.0	59.75912494431572	18.181818181818183	7454977.0		
150_MSI	62.06	4435754.0							
150_MSI_R1			91.46817457226285	55.0	66.47012335564399	27.27272727272727	7147707.0		
162_MSI	57.73	179831.0							
162_MSI_R1			85.13176901101018	48.0	55.05666227971624	27.27272727272727	311530.0		
164_MSI	75.97	10830033.0							
164_MSI_R1			79.00598443383558	45.0	65.92383841781928	18.181818181818183	14256374.0		
167_MSI	79.99	12687678.0							
167_MSI_R1			56.89802815835276	43.0	62.3656630259978	9.090909090909092	15861188.0		
168_MSI	65.33	4803826.0							
168_MSI_R1			86.831489000042	48.0	65.33706216863669	18.181818181818183	7353145.0		
171_MSI	42.42	3313316.0							
171_MSI_R1			84.38897177259217	52.0	62.55477548119402	18.181818181818183	7811506.0		
173_MSI	78.87	12276164.0							
173_MSI_R1			49.737785566124856	44.0	62.4269994261092	0.0	15565679.0		
175_MSI	82.07	32253072.0							
175_MSI_R1			66.31341640257968	43.0	61.8836821971011	9.090909090909092	39297527.0		
182_MSI	60.95	7192616.0							
182_MSI_R1			81.63215731986794	48.0	65.97936117461425	18.181818181818183	11801253.0		
183_MSI	53.68	5505919.0							
183_MSI_R1			88.71278341063	51.0	63.77628525409548	18.181818181818183	10256007.0		
184_MSI	69.34	12931280.0							
184_MSI_R1			83.32973819150985	48.0	65.92446948533232	18.181818181818183	18648966.0		
187_MSI	73.82	1225938.0							
187_MSI_R1			43.89268156111855	42.0	63.28920101062894	9.090909090909092	1660748.0		
195_MSI	73.65	8268787.0							
195_MSI_R1			68.37665462184367	44.0	62.95151184657494	18.181818181818183	11226536.0		
218_MSI	76.33	9754332.0							
218_MSI_R1			67.31895305853081	44.0	62.7010571983196	9.090909090909092	12779816.0		
226_MSI	74.97	14373562.0							
226_MSI_R1			83.93136796891909	44.0	63.5097759629728	18.181818181818183	19171206.0		
56_MSI	79.89	8689840.0							
56_MSI_R1			46.462195433609985	42.0	64.76578724091213	0.0	10877439.0		
results/mapped/star/104_MSI/Aligned.sortedByCoord.out.bam								41.852193494454404	12457179
results/mapped/star/112_MSI/Aligned.sortedByCoord.out.bam								36.08009726529026	8294039
results/mapped/star/115_MSI/Aligned.sortedByCoord.out.bam								15.839346192289158	3104107
results/mapped/star/116_MSI/Aligned.sortedByCoord.out.bam								23.529136275246717	4260376
results/mapped/star/120_MSI/Aligned.sortedByCoord.out.bam								41.90468501866694	9042190
results/mapped/star/121_MSI/Aligned.sortedByCoord.out.bam								17.920273262930877	3491209
results/mapped/star/150_MSI/Aligned.sortedByCoord.out.bam								21.02167659178608	3594787
results/mapped/star/162_MSI/Aligned.sortedByCoord.out.bam								11.838768892317363	66299
results/mapped/star/164_MSI/Aligned.sortedByCoord.out.bam								33.13313040822807	9542489
results/mapped/star/167_MSI/Aligned.sortedByCoord.out.bam								40.06901423888425	10875622
results/mapped/star/168_MSI/Aligned.sortedByCoord.out.bam								21.858349574922475	4169144
results/mapped/star/171_MSI/Aligned.sortedByCoord.out.bam								8.741801189179931	2868553
results/mapped/star/173_MSI/Aligned.sortedByCoord.out.bam								38.82825818509059	10702107
results/mapped/star/175_MSI/Aligned.sortedByCoord.out.bam								47.271121691788416	28191284
results/mapped/star/182_MSI/Aligned.sortedByCoord.out.bam								17.42452354224323	6335409
results/mapped/star/183_MSI/Aligned.sortedByCoord.out.bam								13.520434450496651	4678871
results/mapped/star/184_MSI/Aligned.sortedByCoord.out.bam								26.392141800345158	11323251
results/mapped/star/187_MSI/Aligned.sortedByCoord.out.bam								29.88510749776735	1071174
results/mapped/star/195_MSI/Aligned.sortedByCoord.out.bam								32.567934527121274	7360915
results/mapped/star/218_MSI/Aligned.sortedByCoord.out.bam								36.07172714983709	8630261
results/mapped/star/226_MSI/Aligned.sortedByCoord.out.bam								34.437474457331454	12781251
results/mapped/star/56_MSI/Aligned.sortedByCoord.out.bam								44.065274082506924	7611319
