Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
104_MSI	17616517.0	66.0	14316774.0	81.27	65.96	318500.0	0.0	299346.0	2987.0	156.0	16011.0	0.65	0.09	1.86	0.0	1.3	2969923.0	16.86	105174.0	0.6	0.0	1.06	0.22	0	186035	38611
112_MSI	12212538.0	65.0	9428266.0	77.2	65.08	192288.0	0.0	180467.0	1847.0	86.0	9888.0	0.62	0.09	1.83	0.0	1.38	2460103.0	20.14	77190.0	0.63	0.0	1.81	0.22	0	220213	26766
115_MSI	6915432.0	64.0	3788146.0	54.78	63.24	89108.0	0.0	77553.0	992.0	40.0	10523.0	2.01	0.14	1.94	0.0	1.33	2604521.0	37.66	177129.0	2.56	0.0	4.53	0.47	0	313146	32490
116_MSI	7445103.0	59.0	4901679.0	65.84	59.16	83058.0	0.0	73546.0	1095.0	52.0	8365.0	1.08	0.16	1.96	0.01	1.25	2185813.0	29.36	170407.0	2.29	0.0	2.01	0.5	0	149912	37292
120_MSI	12785847.0	65.0	10248362.0	80.15	65.16	151489.0	0.0	135615.0	1738.0	84.0	14052.0	1.0	0.16	1.96	0.01	1.3	2161121.0	16.9	125113.0	0.98	0.0	1.7	0.27	0	216816	34435
121_MSI	7454977.0	60.0	4391518.0	58.91	61.24	71245.0	0.0	62310.0	1325.0	3.0	7607.0	1.64	0.09	1.9	0.0	1.32	2560751.0	34.35	247448.0	3.32	0.0	2.64	0.78	0	197043	58217
150_MSI	7147707.0	66.0	4435754.0	62.06	66.06	87760.0	0.0	78068.0	1488.0	33.0	8171.0	2.22	0.13	1.98	0.0	1.35	2298872.0	32.16	134233.0	1.88	0.0	3.36	0.54	0	240238	38610
162_MSI	311530.0	55.0	179831.0	57.73	59.92	1934.0	0.0	1450.0	60.0	0.0	424.0	1.37	0.03	1.28	0.01	2.22	82647.0	26.53	13355.0	4.29	0.0	7.15	4.31	0	22272	13425
164_MSI	14256374.0	66.0	10830033.0	75.97	65.9	197634.0	0.0	182494.0	1858.0	69.0	13213.0	0.93	0.13	1.89	0.01	1.28	3034306.0	21.28	175401.0	1.23	0.0	1.25	0.27	0	178153	38481
167_MSI	15861188.0	62.0	12687678.0	79.99	62.6	194687.0	0.0	176635.0	2226.0	177.0	15649.0	0.7	0.13	1.92	0.01	1.32	2711719.0	17.1	210378.0	1.33	0.0	1.23	0.35	0	195720	55693
168_MSI	7353145.0	65.0	4803826.0	65.33	65.31	129400.0	0.0	118689.0	1139.0	131.0	9441.0	1.16	0.17	1.91	0.01	1.25	2257750.0	30.7	110056.0	1.5	0.0	2.2	0.27	0	161671	19842
171_MSI	7811506.0	63.0	3313316.0	42.42	64.0	57831.0	0.0	51098.0	925.0	5.0	5803.0	1.46	0.14	1.91	0.0	1.24	4103444.0	52.53	180281.0	2.31	0.0	2.48	0.27	0	193408	21057
173_MSI	15565679.0	62.0	12276164.0	78.87	62.64	182660.0	0.0	171389.0	1657.0	83.0	9531.0	0.67	0.09	1.85	0.0	1.34	2742768.0	17.62	194924.0	1.25	0.0	1.93	0.33	0	300451	51372
175_MSI	39297527.0	62.0	32253072.0	82.07	62.03	537016.0	0.0	508504.0	4513.0	208.0	23791.0	0.67	0.09	1.87	0.0	1.32	5704806.0	14.52	470213.0	1.2	0.0	1.85	0.36	0	727808	141628
182_MSI	11801253.0	66.0	7192616.0	60.95	66.29	133158.0	0.0	122767.0	1262.0	65.0	9064.0	1.18	0.13	1.88	0.0	1.23	4226657.0	35.82	148202.0	1.26	0.0	1.78	0.2	0	210164	23614
183_MSI	10256007.0	64.0	5505919.0	53.68	63.65	103050.0	0.0	92170.0	1171.0	39.0	9670.0	1.43	0.15	1.84	0.01	1.27	4318551.0	42.11	184104.0	1.8	0.0	2.12	0.29	0	217659	29774
184_MSI	18648966.0	66.0	12931280.0	69.34	65.56	232256.0	0.0	204698.0	3001.0	165.0	24392.0	1.17	0.16	1.94	0.0	1.22	5052660.0	27.09	225662.0	1.21	0.0	2.11	0.25	0	392821	46543
187_MSI	1660748.0	63.0	1225938.0	73.82	64.2	12859.0	0.0	10863.0	138.0	13.0	1845.0	1.13	0.2	1.87	0.01	1.32	374003.0	22.52	24743.0	1.49	0.0	1.93	0.24	0	32075	3989
195_MSI	11226536.0	63.0	8268787.0	73.65	62.62	174654.0	0.0	150244.0	2006.0	171.0	22233.0	1.11	0.26	1.98	0.01	1.22	2449123.0	21.82	146717.0	1.31	0.0	3.0	0.23	0	336138	25771
218_MSI	12779816.0	63.0	9754332.0	76.33	62.83	161372.0	0.0	143224.0	1835.0	169.0	16144.0	0.95	0.17	1.95	0.01	1.24	2604944.0	20.38	154278.0	1.21	0.0	1.8	0.28	0	230419	35843
226_MSI	19171206.0	63.0	14373562.0	74.97	63.6	292783.0	0.0	258472.0	3680.0	275.0	30356.0	1.06	0.2	2.04	0.01	1.23	4058156.0	21.17	221526.0	1.16	0.0	2.45	0.25	0	470003	47959
56_MSI	10877439.0	65.0	8689840.0	79.89	64.35	190028.0	0.0	159065.0	2833.0	241.0	27889.0	0.79	0.25	2.05	0.01	1.2	1916867.0	17.62	76348.0	0.7	0.0	1.61	0.18	0	174837	19547
