#File	results/reads/umis/167_MSI_R1.fastq.gz
#Total	17828184
#Matched	14565568	81.69967%
#Name	Reads	ReadsPct
QuantSeq FWD R1	9007355	50.52312%
RNA_Adapter_(RA3)_part_#_15013207	609781	3.42032%
TruSeq_Universal_Adapter	394698	2.21390%
I5_Nextera_Transposase_1	366412	2.05524%
Reverse_adapter	330980	1.85650%
RNA_Adapter_(RA5)_part_#_15013205	329372	1.84748%
Stop_Oligo_(STP)_8	320408	1.79720%
QuantSeq r1adapter	316091	1.77298%
Nextera_LMP_Read2_External_Adapter	311053	1.74473%
PhiX_read1_adapter	281722	1.58021%
Illumina 3p RNA Adapter	255214	1.43152%
I5_Adapter_Nextera	236157	1.32463%
I7_Nextera_Transposase_1	209346	1.17424%
Bisulfite_R2	196951	1.10472%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	169119	0.94860%
I5_Nextera_Transposase_2	104168	0.58429%
RNA_PCR_Primer_(RP1)_part_#_15013198	103193	0.57882%
I7_Nextera_Transposase_2	97018	0.54418%
I7_Adapter_Nextera_No_Barcode	79482	0.44582%
TruSeq_Adapter_Index_1_6	67843	0.38054%
Illumina Small RNA v1.5 3p Adapter	64583	0.36225%
PhiX_read2_adapter	38855	0.21794%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	35905	0.20139%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N711	35330	0.19817%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N706	27607	0.15485%
pcr_dimer	27081	0.15190%
PCR_Primers	22992	0.12896%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	19601	0.10994%
I7_Primer_Nextera_XT_Index_Kit_v2_N727	19104	0.10716%
TruSeq_Adapter_Index_27	18670	0.10472%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N703	17313	0.09711%
RNA_PCR_Primer_Index_35_(RPI35)	17172	0.09632%
TruSeq_Adapter_Index_15	14311	0.08027%
RNA_PCR_Primer_Index_43_(RPI43)	14053	0.07882%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N704	13299	0.07460%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	12219	0.06854%
RNA_PCR_Primer_Index_45_(RPI45)	11474	0.06436%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	10950	0.06142%
TruSeq_Adapter_Index_25	10393	0.05830%
RNA_PCR_Primer_Index_36_(RPI36)	9847	0.05523%
TruSeq_Adapter_Index_8	9470	0.05312%
RNA_PCR_Primer_Index_44_(RPI44)	9468	0.05311%
TruSeq_Adapter_Index_5	9384	0.05264%
RNA_PCR_Primer_Index_28_(RPI28)	9176	0.05147%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N708	8680	0.04869%
TruSeq_Adapter_Index_13	8662	0.04859%
RNA_PCR_Primer_Index_34_(RPI34)	8563	0.04803%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	7760	0.04353%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	7528	0.04223%
RNA_PCR_Primer_Index_13_(RPI13)	7466	0.04188%
RNA_PCR_Primer_Index_14_(RPI14)	7140	0.04005%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	7123	0.03995%
TruSeq_Adapter_Index_12	6813	0.03821%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	6468	0.03628%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N707	6449	0.03617%
RNA_PCR_Primer_Index_1_(RPI1)_2,9	6231	0.03495%
RNA_PCR_Primer_Index_40_(RPI40)	6220	0.03489%
I7_Primer_Nextera_XT_Index_Kit_v2_N728	6067	0.03403%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	6036	0.03386%
TruSeq_Adapter_Index_4	5896	0.03307%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	5820	0.03264%
TruSeq_Adapter_Index_10	5587	0.03134%
TruSeq_Adapter_Index_3	5571	0.03125%
I5_Primer_Nextera_XT_Index_Kit_v2_S518	5447	0.03055%
RNA_PCR_Primer_Index_32_(RPI32)	5391	0.03024%
TruSeq_Adapter_Index_7	5341	0.02996%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N705	5254	0.02947%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	5194	0.02913%
RNA_PCR_Primer_Index_27_(RPI27)	5114	0.02868%
I7_Primer_Nextera_XT_Index_Kit_v2_N715	5005	0.02807%
RNA_PCR_Primer_Index_39_(RPI39)	4980	0.02793%
TruSeq_Adapter_Index_20	4906	0.02752%
RNA_PCR_Primer_Index_29_(RPI29)	4885	0.02740%
RNA_PCR_Primer_Index_15_(RPI15)	4870	0.02732%
RNA_PCR_Primer_Index_26_(RPI26)	4774	0.02678%
I5_Primer_Nextera_XT_Index_Kit_v2_S520	4446	0.02494%
TruSeq_Adapter_Index_19	4246	0.02382%
RNA_PCR_Primer_Index_33_(RPI33)	4153	0.02329%
I7_Primer_Nextera_XT_Index_Kit_v2_N726	3892	0.02183%
TruSeq_Adapter_Index_6	3617	0.02029%
RNA_PCR_Primer_Index_19_(RPI19)	3595	0.02016%
TruSeq_Adapter_Index_9	3468	0.01945%
RNA_PCR_Primer_Index_38_(RPI38)	3427	0.01922%
RNA_PCR_Primer_Index_46_(RPI46)	3252	0.01824%
I7_Primer_Nextera_XT_Index_Kit_v2_N714	3251	0.01824%
RNA_PCR_Primer_Index_25_(RPI25)	3032	0.01701%
TruSeq_Adapter_Index_14	2959	0.01660%
TruSeq_Adapter_Index_11	2841	0.01594%
TruSeq_Adapter_Index_2	2833	0.01589%
TruSeq_Adapter_Index_18_7	2596	0.01456%
RNA_PCR_Primer_Index_47_(RPI47)	2595	0.01456%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N712	2565	0.01439%
I7_Primer_Nextera_XT_Index_Kit_v2_N724	2346	0.01316%
TruSeq_Adapter_Index_16	2300	0.01290%
I5_Primer_Nextera_XT_Index_Kit_v2_S522	2247	0.01260%
TruSeq_Adapter_Index_23	2218	0.01244%
I7_Primer_Nextera_XT_Index_Kit_v2_N721	2121	0.01190%
RNA_PCR_Primer_Index_16_(RPI16)	2086	0.01170%
I7_Primer_Nextera_XT_Index_Kit_v2_N716	2058	0.01154%
I7_Primer_Nextera_XT_Index_Kit_v2_N722	1994	0.01118%
RNA_PCR_Primer_Index_30_(RPI30)	1966	0.01103%
I7_Primer_Nextera_XT_Index_Kit_v2_N718	1883	0.01056%
